event_id,user,true_label,text,destination,volume_mb,is_spike_injected,ground_truth_leak
1,alice,Restricted,Restricted: customer credit card number 4539 1488 0343 6467 was flagged for review.,internal_drive,137.2,False,False
2,bob,Unrestricted,Please find attached the public press release announcing our new product launch.,internal_drive,27.3,False,False
3,alice,Internal,Internal use only: preliminary sales figures for the current quarter.,personal_email,1895.4,True,True
4,bob,Internal,"Internal memo: the server migration is scheduled for this weekend, IT staff only.",internal_drive,24.4,False,False
5,dave,Internal,"Internal memo: the server migration is scheduled for this weekend, IT staff only.",external_usb,12.3,False,True
6,alice,Unrestricted,Quarterly team lunch is scheduled for Friday at noon in the main cafeteria.,external_usb,150.3,False,False
7,bob,Unrestricted,The office will be closed on national holidays as per the published calendar.,external_usb,18.1,False,False
8,alice,Restricted,"Restricted: source code for the proprietary encryption module, trade secret.",personal_email,6052.3,True,True
9,carol,Internal,"Attached is the internal budget draft for the upcoming fiscal year, for department heads only.",internal_drive,252.3,False,False
10,dave,Restricted,Restricted access: patient medical records including diagnosis and treatment history.,internal_drive,19.0,False,False
11,carol,Internal,Internal use only: preliminary sales figures for the current quarter.,external_usb,156.1,False,True
12,bob,Unrestricted,The annual sports day will be held at the community stadium this year.,cloud_upload,26.7,False,False
13,alice,Restricted,"CONFIDENTIAL legal settlement terms, not to be shared outside legal counsel.",personal_email,4884.3,True,True
14,carol,Unrestricted,The office will be closed on national holidays as per the published calendar.,external_usb,188.2,False,False
15,carol,Restricted,"CONFIDENTIAL: employee salary details for the engineering department, SSN 512-34-9876.",internal_drive,180.7,False,False
16,bob,Unrestricted,Marketing team welcomes two new interns joining this semester.,external_usb,17.0,False,False
17,bob,Unrestricted,Quarterly team lunch is scheduled for Friday at noon in the main cafeteria.,cloud_upload,25.4,False,False
18,bob,Internal,This document outlines internal process changes for the finance approval workflow.,internal_drive,19.2,False,False
19,alice,Internal,Please keep this internal org chart confidential to the management team.,external_usb,181.6,False,True
20,carol,Internal,Please keep this internal org chart confidential to the management team.,external_usb,224.7,False,True
21,dave,Unrestricted,Reminder: the cafeteria menu has been updated with new vegetarian options.,external_usb,238.4,True,False
22,carol,Unrestricted,Please distribute the public FAQ document to all customers on our website.,personal_email,225.5,False,False
23,bob,Restricted,"CONFIDENTIAL: employee salary details for the engineering department, SSN 512-34-9876.",external_usb,14.0,False,True
24,alice,Internal,"Team, please do not forward this internal roadmap document outside the department.",internal_drive,2260.9,True,True
25,dave,Restricted,"CONFIDENTIAL merger agreement details, distribution limited to executive board only.",internal_drive,16.2,False,False
26,dave,Unrestricted,Please distribute the public FAQ document to all customers on our website.,cloud_upload,19.3,False,False
27,alice,Unrestricted,General announcement: office Wi-Fi will be upgraded next week.,internal_drive,177.4,False,False
28,carol,Internal,"Attached is the internal budget draft for the upcoming fiscal year, for department heads only.",cloud_upload,5372.9,True,True
29,dave,Restricted,"CONFIDENTIAL: employee salary details for the engineering department, SSN 512-34-9876.",internal_drive,19.5,False,False
30,carol,Internal,Internal use only: preliminary sales figures for the current quarter.,external_usb,168.0,False,True
